ori | connection: 1 | time: 2.4376790523529053 | roll: -3.066007555752444 | pitch: -1.5707963267948966 | yaw: -3.0234955831494355 
acc | connection: 1 | time: 2.4520227909088135 | x_acc: -331 | y_acc: 2390 | z_acc: -416 
gyr | connection: 1 | time: 2.4530677795410156 | x_gyr: 3063 | y_gyr: -1003 | z_gyr: -544 
ori | connection: 1 | time: 2.4590039253234863 | roll: -3.025479610079001 | pitch: -1.5707963267948966 | yaw: -3.0128876648614473 
acc | connection: 1 | time: 2.4622528553009033 | x_acc: -187 | y_acc: 1070 | z_acc: 1115 
gyr | connection: 1 | time: 2.4631097316741943 | x_gyr: 2564 | y_gyr: -509 | z_gyr: -466 
ori | connection: 1 | time: 2.4680721759796143 | roll: -2.9955019795633593 | pitch: -1.5707963267948966 | yaw: -3.0057076114805317 
acc | connection: 1 | time: 2.4691193103790283 | x_acc: -202 | y_acc: 2404 | z_acc: -657 
gyr | connection: 1 | time: 2.470036745071411 | x_gyr: 1844 | y_gyr: -217 | z_gyr: -345 
ori | connection: 1 | time: 2.476901054382324 | roll: -2.975135157700764 | pitch: -1.5707963267948966 | yaw: -3.0011105392505684 
acc | connection: 1 | time: 2.4801599979400635 | x_acc: -260 | y_acc: 2 | z_acc: 997 
gyr | connection: 1 | time: 2.481196403503418 | x_gyr: 1019 | y_gyr: -39 | z_gyr: -170 
ori | connection: 1 | time: 2.484973669052124 | roll: -2.996776262034671 | pitch: -1.5707963267948966 | yaw: -3.0030207336015318 
acc | connection: 1 | time: 2.486020565032959 | x_acc: 189 | y_acc: 2503 | z_acc: -346 
gyr | connection: 1 | time: 2.4869205951690674 | x_gyr: 259 | y_gyr: 411 | z_gyr: -53 
ori | connection: 1 | time: 2.4962916374206543 | roll: -3.0120069683383965 | pitch: -1.5707963267948966 | yaw: -3.003829463493242 
acc | connection: 1 | time: 2.4973392486572266 | x_acc: -245 | y_acc: -45 | z_acc: 700 
gyr | connection: 1 | time: 2.4982473850250244 | x_gyr: -423 | y_gyr: 492 | z_gyr: 114 
ori | connection: 1 | time: 2.502671718597412 | roll: -3.044266565187008 | pitch: -1.5707963267948966 | yaw: -3.0120679442071667 
acc | connection: 1 | time: 2.5037176609039307 | x_acc: 499 | y_acc: 2458 | z_acc: 293 
gyr | connection: 1 | time: 2.5037176609039307 | x_gyr: -978 | y_gyr: 153 | z_gyr: 115 
ori | connection: 1 | time: 2.512502908706665 | roll: -3.043430236765849 | pitch: -1.5707963267948966 | yaw: -3.012854052101522 
acc | connection: 1 | time: 2.5135436058044434 | x_acc: -545 | y_acc: 569 | z_acc: 223 
gyr | connection: 1 | time: 2.514047384262085 | x_gyr: -1397 | y_gyr: 102 | z_gyr: 107 
ori | connection: 1 | time: 2.518338441848755 | roll: -3.0589440655995146 | pitch: -1.5707963267948966 | yaw: -3.0189043315267456 
acc | connection: 1 | time: 2.519378662109375 | x_acc: 323 | y_acc: 2204 | z_acc: 807 
gyr | connection: 1 | time: 2.5200724601745605 | x_gyr: -1744 | y_gyr: 125 | z_gyr: 128 
ori | connection: 1 | time: 2.527974843978882 | roll: -3.070773871256413 | pitch: -1.5707963267948966 | yaw: -3.025079556362734 
acc | connection: 1 | time: 2.5290160179138184 | x_acc: -434 | y_acc: 1339 | z_acc: -106 
gyr | connection: 1 | time: 2.5297353267669678 | x_gyr: -1996 | y_gyr: 136 | z_gyr: 185 
ori | connection: 1 | time: 2.5341484546661377 | roll: -3.0828217079197167 | pitch: -1.5707963267948966 | yaw: -3.0339173770253045 
acc | connection: 1 | time: 2.535191059112549 | x_acc: 553 | y_acc: 1963 | z_acc: 1170 
gyr | connection: 1 | time: 2.5358738899230957 | x_gyr: -2213 | y_gyr: -9 | z_gyr: 136 
ori | connection: 1 | time: 2.5482895374298096 | roll: -3.085493678333468 | pitch: -1.5707963267948966 | yaw: -3.0416904114072016 
acc | connection: 1 | time: 2.5493252277374268 | x_acc: -232 | y_acc: 2030 | z_acc: -368 
gyr | connection: 1 | time: 2.550055503845215 | x_gyr: -2475 | y_gyr: -337 | z_gyr: 113 
ori | connection: 1 | time: 2.554067611694336 | roll: -3.089818876974349 | pitch: -1.5707963267948966 | yaw: -3.053132702480088 
acc | connection: 1 | time: 2.5554473400115967 | x_acc: 383 | y_acc: 1624 | z_acc: 1499 
gyr | connection: 1 | time: 2.55648136138916 | x_gyr: -2756 | y_gyr: -622 | z_gyr: 146 
ori | connection: 1 | time: 2.5674052238464355 | roll: -3.09434489585981 | pitch: -1.5707963267948966 | yaw: -3.065269329445099 
acc | connection: 1 | time: 2.568450927734375 | x_acc: -129 | y_acc: 2635 | z_acc: -326 
gyr | connection: 1 | time: 2.5694477558135986 | x_gyr: -2959 | y_gyr: -659 | z_gyr: 206 
ori | connection: 1 | time: 2.5741236209869385 | roll: -3.099348682419241 | pitch: -1.5707963267948966 | yaw: -3.0791063001492933 
acc | connection: 1 | time: 2.5757806301116943 | x_acc: 124 | y_acc: 1511 | z_acc: 1629 
gyr | connection: 1 | time: 2.5768163204193115 | x_gyr: -3180 | y_gyr: -571 | z_gyr: 140 
ori | connection: 1 | time: 2.5894553661346436 | roll: -3.104604747814131 | pitch: -1.5707963267948966 | yaw: -3.093835645894986 
acc | connection: 1 | time: 2.591092348098755 | x_acc: -43 | y_acc: 3078 | z_acc: -146 
gyr | connection: 1 | time: 2.591092348098755 | x_gyr: -3245 | y_gyr: -633 | z_gyr: 171 
ori | connection: 1 | time: 2.595940113067627 | roll: -3.1120744654799832 | pitch: -1.5707963267948966 | yaw: -3.112818899125443 
acc | connection: 1 | time: 2.5969929695129395 | x_acc: 32 | y_acc: 1611 | z_acc: 1724 
gyr | connection: 1 | time: 2.597386360168457 | x_gyr: -3302 | y_gyr: -236 | z_gyr: 235 
ori | connection: 1 | time: 2.6092169284820557 | roll: -3.119000253555801 | pitch: -1.5707963267948966 | yaw: -3.1328789036860876 
acc | connection: 1 | time: 2.610262393951416 | x_acc: 61 | y_acc: 3535 | z_acc: -381 
gyr | connection: 1 | time: 2.6109607219696045 | x_gyr: -3228 | y_gyr: -278 | z_gyr: 243 
ori | connection: 1 | time: 2.6199569702148438 | roll: -3.1261057449904213 | pitch: -1.5707963267948966 | yaw: 3.1267531720628776 
acc | connection: 1 | time: 2.6210060119628906 | x_acc: 9 | y_acc: 1519 | z_acc: 1347 
gyr | connection: 1 | time: 2.6218271255493164 | x_gyr: -3076 | y_gyr: -409 | z_gyr: 280 
ori | connection: 1 | time: 2.6339001655578613 | roll: -3.1342230035665146 | pitch: -1.5707963267948966 | yaw: 3.102890615475635 
acc | connection: 1 | time: 2.6339001655578613 | x_acc: 227 | y_acc: 3646 | z_acc: -426 
gyr | connection: 1 | time: 2.6366121768951416 | x_gyr: -2838 | y_gyr: -648 | z_gyr: 293 
ori | connection: 1 | time: 2.642509698867798 | roll: 3.1398865028974683 | pitch: -1.5707963267948966 | yaw: 3.0788000840527165 
acc | connection: 1 | time: 2.642509698867798 | x_acc: -96 | y_acc: 1462 | z_acc: 765 
gyr | connection: 1 | time: 2.643717050552368 | x_gyr: -2391 | y_gyr: -973 | z_gyr: 338 
ori | connection: 1 | time: 2.652038335800171 | roll: 3.1282313504924764 | pitch: -1.5707963267948966 | yaw: 3.056153045654739 
acc | connection: 1 | time: 2.652038335800171 | x_acc: 54 | y_acc: 1993 | z_acc: 261 
gyr | connection: 1 | time: 2.653069496154785 | x_gyr: -1794 | y_gyr: -1255 | z_gyr: 407 
ori | connection: 1 | time: 2.659343957901001 | roll: 3.1191315662552848 | pitch: -1.5707963267948966 | yaw: 3.0409030164739743 
acc | connection: 1 | time: 2.659343957901001 | x_acc: -282 | y_acc: 2376 | z_acc: 388 
gyr | connection: 1 | time: 2.660372734069824 | x_gyr: -1261 | y_gyr: -1111 | z_gyr: 480 
ori | connection: 1 | time: 2.665698766708374 | roll: 3.1126225510621786 | pitch: -1.5707963267948966 | yaw: 3.032224798214407 
acc | connection: 1 | time: 2.665698766708374 | x_acc: -416 | y_acc: 2736 | z_acc: -586 
gyr | connection: 1 | time: 2.666726589202881 | x_gyr: -614 | y_gyr: -317 | z_gyr: 628 
ori | connection: 1 | time: 2.671154737472534 | roll: 3.1048081027349546 | pitch: -1.5707963267948966 | yaw: 3.023345255360116 
acc | connection: 1 | time: 2.671154737472534 | x_acc: -197 | y_acc: 2368 | z_acc: -629 
gyr | connection: 1 | time: 2.671154737472534 | x_gyr: 81 | y_gyr: 75 | z_gyr: 687 
ori | connection: 1 | time: 2.676422357559204 | roll: 3.102673800853492 | pitch: -1.5707963267948966 | yaw: 3.028329575819203 
acc | connection: 1 | time: 2.676422357559204 | x_acc: -318 | y_acc: 3048 | z_acc: -1025 
gyr | connection: 1 | time: 2.676422357559204 | x_gyr: 847 | y_gyr: 771 | z_gyr: 569 
ori | connection: 1 | time: 2.6811583042144775 | roll: 3.1028126508917357 | pitch: -1.5707963267948966 | yaw: 3.0350031789740246 
