gyr | connection: 1 | time: 3.903787136077881 | x_gyr: -87 | y_gyr: 61 | z_gyr: -74 
ori | connection: 1 | time: 3.9149117469787598 | roll: -2.967580174039758 | pitch: -1.5707963267948966 | yaw: -3.0043686834376895 
acc | connection: 1 | time: 3.9153764247894287 | x_acc: -321 | y_acc: 1207 | z_acc: 237 
gyr | connection: 1 | time: 3.9163777828216553 | x_gyr: -87 | y_gyr: 73 | z_gyr: -90 
ori | connection: 1 | time: 3.9236857891082764 | roll: -2.966696554772172 | pitch: -1.5707963267948966 | yaw: -3.0003783200094043 
acc | connection: 1 | time: 3.9250986576080322 | x_acc: -292 | y_acc: 2130 | z_acc: 149 
gyr | connection: 1 | time: 3.9250986576080322 | x_gyr: -188 | y_gyr: 143 | z_gyr: -120 
ori | connection: 1 | time: 3.936609983444214 | roll: -2.9646566364925446 | pitch: -1.5707963267948966 | yaw: -2.997436505194234 
acc | connection: 1 | time: 3.9377286434173584 | x_acc: -374 | y_acc: 2018 | z_acc: 122 
gyr | connection: 1 | time: 3.9377286434173584 | x_gyr: -118 | y_gyr: 185 | z_gyr: -108 
ori | connection: 1 | time: 3.949408769607544 | roll: -2.9634221172157336 | pitch: -1.5707963267948966 | yaw: -2.9943519134013687 
acc | connection: 1 | time: 3.9504125118255615 | x_acc: -343 | y_acc: 2032 | z_acc: 130 
gyr | connection: 1 | time: 3.9511454105377197 | x_gyr: -137 | y_gyr: 139 | z_gyr: -97 
ori | connection: 1 | time: 3.962069511413574 | roll: -2.962059229624552 | pitch: -1.5707963267948966 | yaw: -2.9912505764946493 
acc | connection: 1 | time: 3.9630727767944336 | x_acc: -425 | y_acc: 2013 | z_acc: 111 
gyr | connection: 1 | time: 3.9638030529022217 | x_gyr: -152 | y_gyr: 90 | z_gyr: -66 
ori | connection: 1 | time: 3.9741148948669434 | roll: -2.9613818999333863 | pitch: -1.5707963267948966 | yaw: -2.989148831186572 
acc | connection: 1 | time: 3.9759349822998047 | x_acc: -468 | y_acc: 2060 | z_acc: 37 
gyr | connection: 1 | time: 3.976930618286133 | x_gyr: -151 | y_gyr: -24 | z_gyr: -12 
ori | connection: 1 | time: 3.9870004653930664 | roll: -2.962893632085691 | pitch: -1.5707963267948966 | yaw: -2.9878760483738382 
acc | connection: 1 | time: 3.988004446029663 | x_acc: -505 | y_acc: 2119 | z_acc: -13 
gyr | connection: 1 | time: 3.9887378215789795 | x_gyr: -178 | y_gyr: -49 | z_gyr: 119 
ori | connection: 1 | time: 3.999645709991455 | roll: -2.9660250666390273 | pitch: -1.5707963267948966 | yaw: -2.9863530500765387 
acc | connection: 1 | time: 4.0006492137908936 | x_acc: -590 | y_acc: 2099 | z_acc: 105 
gyr | connection: 1 | time: 4.001611948013306 | x_gyr: -171 | y_gyr: 132 | z_gyr: 267 
ori | connection: 1 | time: 4.012590646743774 | roll: -2.9731316270013464 | pitch: -1.5707963267948966 | yaw: -2.985836609680775 
